B-cells	CAFs	Endothelial	Epithelial	Myeloid	Plasma Cells	PVL	T-cells	TLS
0.02951864	0.14293683	0.020373672	0.63934463	0.015222739	0.09218851	0.044037454	0.016377542	-0.026810892245012017
0.055402167	0.17007959	0.031367276	0.4489078	0.053961106	0.14743489	0.057320185	0.035527036	-0.02384122821480375
0.028283563	0.21880303	0.07744072	0.15027966	0.07066076	0.32018894	0.057171334	0.07717193	-0.023412383489804595
0.040135853	0.22509813	0.090226345	0.23060517	0.09994831	0.1723866	0.0656557	0.07594385	-0.021681635378069677
0.0023280086	0.25652483	2.3847005e-10	0.3697402	0.11904586	0.17761749	0.03896794	0.035775635	-0.027611205805876855
0.032267053	0.19506855	0.019145042	0.32530364	0.18707451	0.16633375	0.017729826	0.05707764	-0.024094323307787935
0.019186813	0.23021196	0.027714448	0.35743964	0.12550138	0.14719151	0.03900282	0.053751435	-0.025715140314124467
0.0039523663	0.21980798	0.008703347	0.4229935	0.10407835	0.21043016	3.0597092e-10	0.030034171	-0.0275403656871601
0.05109227	0.2285833	0.047245134	0.5174503	0.1060934	1.560773e-10	0.04020517	0.009330371	-0.026824358109113437
0.034159474	0.22344023	0.03269998	0.29996967	0.053361095	0.23544428	0.051628947	0.06929626	-0.023043530194243295
0.023051413	0.17610079	0.11918889	0.15602842	0.09311517	0.22234446	0.13625476	0.07391617	-0.024370033453681356
0.03373251	0.27526876	0.00926249	0.33822298	0.117108434	0.18319017	0.016566418	0.026648248	-0.025979953193492816
0.006911865	0.16217504	0.00520766	0.68931335	0.011990952	0.10565185	0.0022542668	0.016494997	-0.027549755392898966
0.011264536	0.124872714	0.025162095	0.32819194	0.06232379	0.35553885	0.073252805	0.019393228	-0.02734086634785336
0.014908868	0.11797965	0.02428049	0.49346834	0.03931382	0.20796743	0.09479491	0.0072865183	-0.027560510298749206
0.056747105	0.24659635	0.035316404	0.39053574	0.12362996	0.09714315	0.046543356	0.0034879257	-0.02738191840591758
0.026088335	0.2343037	0.08771368	0.22302692	0.057983972	0.27387357	0.051335502	0.04567428	-0.025394645942730176
0.03896172	0.13567962	0.1475483	2.1632297e-10	0.12484624	0.30624253	0.11062102	0.13610052	-0.017172357073588974
0.016100233	0.17620128	0.05402734	0.13496295	0.09234254	0.39888573	0.057280395	0.070199475	-0.025517321969822426
0.046415173	0.20325464	0.0011991084	0.67015296	1.2657848e-10	0.06330186	1.2613574e-10	0.01567621	-0.026322549779509118
0.051886518	0.115981296	0.008249888	0.7399842	1.745465e-10	0.083898135	1.7480871e-10	1.7469738e-10	-0.0277777777596489
0.026423825	0.16663319	0.008183685	0.5653569	0.034494452	0.18938294	9.487634e-11	0.009524998	-0.027274404017223076
0.01458516	0.13372284	0.00604817	0.32181394	0.05863227	0.3980222	0.03305359	0.03412179	-0.026782434244504976
0.026268966	0.1727166	0.018718882	0.3009006	0.08721701	0.28807634	0.08561538	0.020486172	-0.02670147666630147
0.038324833	0.13701932	0.013967464	0.4794794	0.03334682	0.25085878	0.034682248	0.012321134	-0.026833366971936532
0.03000789	0.19136722	0.03093144	0.18816097	0.14228593	0.32544816	0.06786272	0.02393569	-0.026341258672589577
6.77452e-10	0.25890455	0.053017423	0.21817726	0.09719924	0.28193545	0.027810797	0.062955275	-0.02777777769247942
0.059337575	0.2133603	0.05495562	0.15711176	0.087187916	0.27059913	0.05234506	0.10510269	-0.015304700276624277
0.10207211	0.14656764	0.103356294	0.054010965	0.13970175	0.12757294	0.06715154	0.25956666	0.025211255565927425
0.04750163	0.21465316	0.04180665	0.15347156	0.12249587	0.29257613	0.029168349	0.098326564	-0.018436433653179134
0.019511318	0.17883073	0.006177859	0.6657125	0.0029840353	0.09701007	0.02132117	0.008452322	-0.027447945893016985
0.029712565	0.11815998	0.0075574405	0.6924096	1.5556119e-10	0.11303907	0.03330924	0.0058121737	-0.027432388600072695
0.043189842	0.1391493	0.013058477	0.23847653	0.015450802	0.51176775	0.023752205	0.015155159	-0.02646867993238802
0.038949423	0.1829307	0.005514224	0.43482852	0.09071844	0.21128786	1.4412793e-10	0.035770893	-0.024991266492688298
0.07142585	0.20107917	0.007843782	0.26308444	0.11490754	0.26711074	0.044973046	0.02957542	-0.023552878752563775
0.016366873	0.1382605	0.009569085	0.38670444	0.07584296	0.3484598	0.01727808	0.0075182426	-0.027531677534142998
0.08886604	0.22068885	0.004947361	0.4309804	0.04038849	0.16674814	0.047380786	5.2502536e-10	-0.027777777684463927
0.039233796	0.20467159	0.10082457	0.141436	0.26378667	0.18225738	0.03997913	0.02781081	-0.025595530485508257
0.050208773	0.252312	0.06590796	0.3227646	0.09491821	0.14092186	0.027686678	0.045279935	-0.023230877822038268
0.014627759	0.1349393	0.027995467	0.39034647	0.04185779	0.14234953	0.16759817	0.08028544	-0.025428985642719858
0.0067793736	0.16439627	0.027373916	0.30111107	0.10469221	0.32473552	0.036650725	0.034260895	-0.027313242963627034
0.05250379	0.23834282	0.016800962	0.24120189	0.056188256	0.3108168	0.026846511	0.05729904	-0.021760944251054577
0.040633626	0.22622868	0.02533737	0.32844114	0.036245983	0.29212394	0.014031512	0.036957763	-0.0247743219387005
0.05493548	0.22825472	0.012609871	0.33469453	0.044815626	0.27954662	0.024382351	0.020760834	-0.025496765015797136
0.037025146	0.16792563	0.010387233	0.32497254	0.080799825	0.29818547	0.021940388	0.05876374	-0.023426305671765697
0.049512245	0.1910047	0.0067374767	0.30358025	0.08187518	0.33460304	0.013993311	0.018693788	-0.025926634954909655
0.014474909	0.21758537	0.0030995728	0.27169096	0.1219432	0.30923125	0.028648915	0.033325937	-0.02681299796694831
0.06970126	0.16389935	0.007371462	0.30045372	0.11950417	0.2944483	0.006690387	0.037931304	-0.022490058413291696
0.011733262	0.18714592	0.016503893	0.3116831	0.08388832	0.3890455	8.317788e-10	8.2905766e-10	-0.027777777758322676
0.015945345	0.17134129	0.18744048	0.26091826	0.14246777	0.14588487	0.055554952	0.020446977	-0.027125709572833646
0.034138504	0.13869992	0.01571712	0.65323865	0.06935066	0.052013688	0.0317776	0.0050638337	-0.027432034363732205
