B-cells	CAFs	Endothelial	Epithelial	Myeloid	Plasma Cells	PVL	T-cells	TLS
0.086851664	0.28601906	0.054574657	0.28709358	0.09875154	0.08077995	0.039064318	0.066865206	-0.01616306896817221
0.08442325	0.33008868	0.03927163	0.16515906	0.14205296	0.10302539	0.085754775	0.05022425	-0.019297588950152777
0.12256223	0.2372821	0.031275313	0.30742273	0.08577564	0.13946182	0.07622017	4.0188877e-10	-0.02777777767926501
0.05904749	0.24499291	0.0294302	0.32265478	0.1003025	0.12739192	0.029572958	0.08660724	-0.017549897502122574
0.018622873	0.275093	0.035137076	0.32935283	0.10369995	0.15194519	0.04415607	0.041992977	-0.026213718022651933
0.052816994	0.19802219	0.002355623	0.51839584	0.09917942	0.07543309	0.027499681	0.026297206	-0.024999899034740248
0.050588448	0.2951983	0.021376822	0.2918002	0.115178786	0.180095	0.006528661	0.039233826	-0.02380822104489368
0.045608323	0.21218905	0.011346237	0.48099622	0.06763293	0.07962817	0.023935065	0.07866411	-0.020602301503002716
0.0432526	0.18015663	0.007823563	0.53398645	0.07979721	0.078677826	0.049411647	0.026894052	-0.025451302430707375
0.035496082	0.21694589	0.03802163	0.5347317	0.035188474	0.06861077	0.024281695	0.046723735	-0.024460758719965236
0.06174335	0.24047571	0.02729974	0.51777124	0.056350645	0.028755099	0.023138342	0.044465926	-0.022286827313593577
0.024958014	0.16945523	0.015015479	0.62037146	0.032672066	0.02216574	0.054309692	0.06105235	-0.024730286965711976
0.02442915	0.15294263	0.0068609165	0.56327343	0.068391	0.01335076	0.060561843	0.11019033	-0.022394065577538775
0.030102074	0.23500279	0.024057738	0.49176085	0.09289638	1.222434e-10	0.028618768	0.09756144	-0.021904174404924655
0.022161389	0.16020691	0.015229093	0.5526634	0.09021371	0.040615655	0.041919064	0.07699078	-0.024365332527790936
0.00027405494	0.23972757	0.016534362	0.35246938	0.12819304	0.14069083	0.047376305	0.07473438	-0.027736815125724103
3.3565895e-10	0.25255406	0.010020386	0.39899874	0.11770669	0.15989952	0.032751758	0.028068863	-0.027777777758934648
0.028359618	0.21884848	0.024932988	0.38710618	0.09690141	0.08506405	0.084145635	0.07464162	-0.023544162117575457
0.14785816	0.34808695	0.0130603	0.14813025	0.07978194	0.09687443	0.075668514	0.09053943	-0.0010037907232801763
0.10024637	0.2886686	0.032264277	0.21375087	0.106334955	0.2369753	0.021759653	6.878833e-10	-0.02777777763986217
0.049763337	0.30697376	0.035966154	0.2834739	0.14100148	0.08974462	5.966304e-10	0.09307674	-0.018514159418815016
0.06993985	0.25034124	0.037414324	0.34771106	0.08545299	0.08334083	0.037545104	0.08825459	-0.015432752204954778
0.057672527	0.26275042	0.02209671	0.37250498	0.071504876	0.10280995	0.050693054	0.059967503	-0.020860822905997615
0.012274447	0.23950885	0.00083241414	0.32468584	0.10008495	0.20167752	0.07196279	0.048973203	-0.026575539808490294
0.037668545	0.27269876	0.016168797	0.30692428	0.10247669	0.19149107	0.039493106	0.03307866	-0.025285727792278376
5.4525634e-07	5.4656624e-07	5.4558507e-07	0.99999595	5.470564e-07	5.455195e-07	5.451919e-07	5.4670386e-07	-0.02777777777718159
0.039682407	0.19508992	0.009990062	0.51084965	0.056111224	0.10326251	0.033832707	0.051181525	-0.023715765565916425
0.03392223	0.15406999	0.010252111	0.58328	0.038756836	0.08621972	0.025341367	0.06815772	-0.023153654069546576
0.04762374	0.23722702	0.012547146	0.39239213	0.12544215	0.08340804	0.03232811	0.06903158	-0.021202693742359377
0.018911568	0.21720177	0.019798415	0.46957693	0.09448072	0.033737313	0.031151416	0.115141846	-0.02342275207722872
