B-cells	CAFs	Endothelial	Epithelial	Myeloid	Plasma Cells	PVL	T-cells	TLS
1.7594332e-10	0.04753932	0.014284488	0.33998784	0.08560996	0.4433243	0.023303151	0.045950934	-0.027777777761608256
2.92169e-10	0.07111201	0.013867452	0.29095098	0.13519931	0.4357435	0.018263515	0.034863256	-0.02777777775740585
2.6923927e-10	0.044359997	0.008576604	0.25479802	0.10538366	0.5062563	0.03154291	0.049082574	-0.027777777751347862
2.1597174e-10	0.05594179	0.003097621	0.23596545	0.08757292	0.58264583	0.01455391	0.0202225	-0.027777777769042798
2.1561805e-10	0.045335095	0.017054923	0.1896618	0.083188735	0.59386104	0.020735284	0.05016313	-0.027777777756145625
0.004613344	0.07443794	0.003393487	0.1910911	0.13921015	0.44341436	0.028177388	0.11566225	-0.026710598283649776
2.3410507e-10	0.08055281	0.01191413	0.16488905	0.10359572	0.59406126	0.0071941298	0.037792947	-0.027777777760082736
1.9036232e-10	0.08334305	0.021143362	0.2709212	0.074569836	0.4933404	0.005342317	0.051339783	-0.027777777758231457
0.0061264527	0.048822768	0.020329086	0.35873473	0.11831132	0.4145463	0.012473132	0.020656142	-0.02752468002392281
0.0021077353	0.063194126	0.019017225	0.30857244	0.11033192	0.45325363	0.03117933	0.012343523	-0.027725744019470852
1.3885836e-10	0.074333146	0.00377276	0.23450734	0.07482761	0.5776748	1.3900436e-10	0.034884352	-0.027777777768089807
2.363059e-10	0.055934872	0.009167332	0.24897625	0.08635108	0.570965	0.015619034	0.012986476	-0.027777777771640214
2.692254e-10	0.05181629	0.004962784	0.24278808	0.06719719	0.61127406	0.015767086	0.00619441	-0.027777777774442392
2.9303457e-10	0.08235125	0.01465103	0.22547722	0.07122989	0.5844939	2.9327218e-10	0.021796763	-0.027777777765003366
2.739947e-10	0.09182047	0.018268326	0.2987649	0.0957709	0.44604784	2.7419647e-10	0.04932759	-0.02777777775074678
3.66165e-10	0.04556129	0.016173793	0.33454138	0.09325195	0.4811807	0.01099517	0.018295642	-0.027777777764379327
4.0282666e-10	0.07355448	0.024715282	0.3298	0.0845839	0.45199528	0.0072861663	0.028064866	-0.027777777755167224
5.4676014e-10	0.058468897	0.038346983	0.31040928	0.12653401	0.41724676	0.007873095	0.041121073	-0.027777777732811048
0.0056748185	0.037945423	0.008693292	0.33653605	0.13134731	0.4463594	0.007396912	0.026046848	-0.0274821555079836
0.011234231	0.07103359	0.013044464	0.35770717	0.10209588	0.38019693	0.028080108	0.0366076	-0.026955261308266577
0.017206233	0.064645186	0.013216907	0.2260354	0.114798404	0.52146196	0.023364862	0.01927095	-0.027114616866115077
1.4614736e-10	0.047924757	0.0036860707	0.18423365	0.11592017	0.5797499	0.019271052	0.04921431	-0.027777777763392693
0.0020653352	0.04708071	0.013764112	0.3725514	0.10261313	0.3843906	0.029146265	0.04838837	-0.027577901370114528
0.009303097	0.060202263	0.011506722	0.27786073	0.090093516	0.49206036	0.01912886	0.03984442	-0.027036424769440296
1.761151e-10	0.057077523	0.019158954	0.18620816	0.11676045	0.570272	0.016158039	0.03436486	-0.027777777765673434
2.834663e-10	0.04942224	0.00618023	0.25167617	0.09079587	0.5610342	0.0106194	0.03027198	-0.027777777760615605
2.6961308e-10	0.03798341	0.008293358	0.20314908	0.09126016	0.61442393	0.009491526	0.035398614	-0.027777777758689916
2.430902e-10	0.04747258	0.012229242	0.16766359	0.08829511	0.6390087	0.010322714	0.03500806	-0.027777777760757544
2.1800056e-10	0.060640328	0.008558696	0.22264117	0.06429567	0.5964193	0.012403284	0.03504159	-0.027777777762499605
3.001912e-10	0.066506915	0.0071647484	0.19179307	0.09485521	0.5692759	0.01551362	0.054890506	-0.02777777774482248
0.0034947149	0.044603135	0.011736651	0.15362413	0.073636144	0.6338549	0.025867827	0.053182494	-0.027406062469375856
1.9167273e-10	0.07039141	0.013353552	0.27120015	0.09050275	0.52031106	0.0077671153	0.026473904	-0.027777777767629127
1.231e-10	0.06556871	0.008067738	0.18731062	0.06691603	0.64982724	1.2361669e-10	0.022309648	-0.027777777772285142
2.383132e-10	0.045280848	0.008074382	0.22958288	0.068787545	0.62598777	0.01003766	0.012248954	-0.027777777771939603
1.6768384e-10	0.060500015	0.008216935	0.2451842	0.070318446	0.56617594	0.018992275	0.03061219	-0.027777777767511436
2.8073402e-10	0.07911559	0.0122506	0.2712956	0.074582905	0.53117037	0.024312468	0.007272464	-0.02777777777369452
2.8336064e-10	0.07207993	0.018341998	0.28577822	0.07803192	0.4917059	0.031138154	0.022923937	-0.027777777764786293
3.0132305e-10	0.06578875	0.025270514	0.3120444	0.07289085	0.48122966	0.011319527	0.031456336	-0.02777777775882074
3.1087088e-10	0.07929418	0.005454617	0.29247215	0.10949444	0.44851795	0.016834984	0.047931608	-0.027777777747976694
0.0046288315	0.057678428	0.024050169	0.3390124	0.072817005	0.43313342	0.017790629	0.050889123	-0.027306663426678226
3.8575054e-10	0.09154686	0.027877258	0.36001873	0.100057624	0.39033332	3.852417e-10	0.030166183	-0.027777777754504532
0.0006459682	0.068749405	0.012630216	0.35122833	0.08875896	0.42174828	0.0074754204	0.048763365	-0.02771477861154779
0.035554375	0.04825898	0.024434535	0.30347484	0.07315814	0.45975453	0.03281152	0.022553151	-0.026174051401606526
2.7388716e-10	0.05337133	0.005579881	0.4114976	0.12240042	0.3745513	0.016515056	0.016084468	-0.02777777776896712
0.015930308	0.07694268	0.02044721	0.26388684	0.104016535	0.44534776	0.004340612	0.06908801	-0.025576591220963615
0.0014124685	0.07199278	0.015931357	0.28866684	0.12625244	0.44751996	0.0001732253	0.048050895	-0.02764203702660916
0.014977006	0.055010844	0.016217904	0.17670408	0.06749992	0.62900627	0.013202204	0.02738184	-0.026957581813835695
0.0027710232	0.070142604	0.018121604	0.2412547	0.11847759	0.48261753	0.0052939598	0.061321087	-0.027437933468325338
0.0044386787	0.072013594	0.028878715	0.24328153	0.1088389	0.46983638	0.014760034	0.057952195	-0.027263315430648284
2.3388025e-10	0.055227518	0.0073513915	0.3446249	0.113104284	0.43620652	0.007987264	0.035498127	-0.027777777761173156
0.013760137	0.044052154	0.012998575	0.3325105	0.080890246	0.47829393	0.020615084	0.01687943	-0.027313251239213958
2.5386573e-10	0.058802225	0.010576013	0.22225933	0.11825392	0.5086672	2.5296912e-10	0.08144138	-0.027777777736427426
3.3972686e-10	0.06323304	3.395144e-10	0.21580009	0.0933372	0.60033935	0.0004583981	0.026831968	-0.027777777759546696
2.5842958e-10	0.08662023	2.5769423e-10	0.19488564	0.08858829	0.5942747	2.582591e-10	0.035631184	-0.027777777759361473
3.142858e-10	0.061301615	0.014724248	0.21654736	0.10729208	0.58374727	0.009335536	0.0070518903	-0.02777777777334516
0.0020241693	0.08028398	2.6080182e-10	0.2053424	0.112212926	0.5603516	0.010977761	0.028807122	-0.027661156793830268
1.9323011e-10	0.059050847	0.0060968683	0.24307299	0.089639604	0.5618268	0.022170028	0.018142894	-0.02777777777076627
2.8280953e-10	0.062057234	0.0028520282	0.26358286	0.076736465	0.57444316	0.0067018177	0.013626435	-0.027777777770070403
0.0048348736	0.05556397	0.014814163	0.31851485	0.08426988	0.4734464	0.014815337	0.03374046	-0.027451516059166063
2.6949584e-10	0.06738688	0.014039472	0.31108743	0.090565935	0.48704797	0.008596881	0.021275442	-0.02777777776631049
3.0765582e-10	0.05182631	0.018329429	0.28970334	0.09941594	0.48239574	0.027736837	0.030592388	-0.027777777758953924
3.3265e-10	0.065830484	0.014561202	0.3420269	0.09454338	0.47129333	6.945984e-05	0.011675348	-0.027777777770010167
0.007315148	0.100276336	0.011007167	0.28878543	0.087376356	0.46165773	3.1885306e-10	0.043581773	-0.02714016353858297
