B-cells	CAFs	Endothelial	Epithelial	Myeloid	Plasma Cells	PVL	T-cells	TLS
0.038394354	0.13732593	0.034540515	0.48802727	0.08172756	0.15872183	0.06126246	6.190581e-10	-0.027777777730241104
0.14929341	0.16253503	0.100735955	0.08890167	0.16235027	0.103694946	0.07004469	0.16244404	0.020725871553775026
0.041464347	0.23764919	0.088400766	0.17157996	0.14424959	0.20841199	0.083876126	0.024368068	-0.025756965723234583
0.035366263	0.19947782	0.05184122	0.25676557	0.1610186	0.1548222	0.14070827	1.1677973e-09	-0.027777777695176524
8.482538e-10	0.22228995	0.065132625	0.2505887	0.11247091	0.2358991	0.06489205	0.04872666	-0.027777777695112627
0.02081468	0.123019546	0.14139007	0.18917653	0.08375987	0.22934288	0.21249643	1.804742e-09	-0.027777777702647524
0.15372504	0.25944376	0.12537682	8.0839413e-10	0.17540513	8.0769597e-10	0.13836132	0.14768797	0.017628900413759828
0.08189009	0.22602747	0.014489711	5.5210475e-10	0.1739396	0.09363481	0.013783522	0.39623478	0.037117625812882624
0.044170585	0.17406467	8.212693e-10	0.22427154	0.09222171	0.27734986	0.13937363	0.048548	-0.023488990656617775
0.02568058	0.08028126	0.04208834	0.20854236	0.06147927	0.4376053	0.13226072	0.012062195	-0.027158249450431576
7.17705e-10	0.08533963	0.029002378	0.28262952	0.08119279	0.37726763	0.11438646	0.030181604	-0.0277777777344548
0.02779554	0.21618599	0.040169645	0.35137236	0.09229987	0.19942522	0.072751336	6.588873e-10	-0.02777777774114952
0.015235464	0.2252397	0.010910084	0.4560227	0.10749859	0.12528242	0.059810955	8.90104e-10	-0.027777777750655482
7.0718903e-10	0.19408715	0.018487047	0.4265794	0.055992883	0.17278676	0.1212128	0.010853993	-0.027777777762426126
5.954284e-10	0.2239896	0.044622693	0.35371396	0.0839074	0.13674057	0.15702577	5.9556693e-10	-0.027777777777777776
0.020015195	0.2595098	0.052928284	0.36421895	0.1342867	0.09242275	0.06483068	0.011787662	-0.027305913070729597
0.0202261	0.13939545	0.08742956	0.30386636	0.03945173	0.13644043	0.25970644	0.013483852	-0.027232326299903378
4.9434024e-10	0.14052384	0.060037322	0.37943524	0.063603215	0.22508614	0.13018434	0.0011298645	-0.0277777777766607
0.04954394	0.1234347	0.040136736	0.38929352	0.095029674	0.16741936	0.13514204	5.999816e-10	-0.02777777771832687
0.0017684111	0.13409719	0.1079131	0.43959782	0.053217642	0.17042355	0.06532393	0.027658347	-0.027679955122092873
0.05489379	0.12183085	0.08678953	0.2798146	0.10115041	0.18057463	0.17494619	8.6142016e-10	-0.02777777768320454
0.033143986	0.13584815	0.053122845	0.26326215	0.0786638	0.24996391	0.16509981	0.020895287	-0.02639267157818981
0.05028172	0.14478894	0.04498592	0.18048228	0.121727414	0.2565028	0.11205479	0.089176185	-0.018809913848101375
0.08176487	0.2780589	0.11854955	0.1960601	0.13011456	0.18631566	0.009136382	6.6215333e-10	-0.027777777669496014
0.048496425	0.30236718	0.032025307	9.280602e-10	0.27959403	0.14568226	0.0151447905	0.17668992	-0.010640118870705775
0.026001314	0.2791972	0.037662107	5.9584576e-10	0.2300511	0.08976276	0.17660277	0.16072279	-0.019419770318285658
0.031173855	0.25535682	0.04678532	0.123009436	0.17775217	0.11908027	0.09162835	0.15521377	-0.018100554657811074
